n_target,n_actual,seed,model_name,r2,rmse
100,100,4,PGSGv2-random,0.14059264372298652,2.556748580903108
100,100,4,PLS,0.1300235607877941,2.572422122222899
100,100,4,MLP,-0.21731177447241046,3.0429120606929696
100,100,4,CNN1D-shallow,0.09495725636193664,2.6237535277139274
200,200,4,PGSGv2,0.4637842646830391,2.0195670076728107
200,200,4,PGSGv2-random,0.4633435440391068,2.0203967875547404
200,200,4,PLS,0.43408257157440255,2.0747464237941817
200,200,4,MLP,0.20824429844062953,2.4540538588595067
200,200,4,CNN1D-shallow,0.4286539301305584,2.0846738195892307
400,400,4,PGSGv2,0.5868805526385565,1.772663530711314
400,400,4,PGSGv2-random,0.5774988115626691,1.7926786968877304
400,400,4,PLS,0.5341832225595566,1.8823312548134006
400,400,4,MLP,0.4475762380270606,2.049862193825973
400,400,4,CNN1D-shallow,0.4443387520532588,2.0558600398357654
700,700,4,PGSGv2,0.7273786596025169,1.4400196373575407
700,700,4,PGSGv2-random,0.6933072687655997,1.5273558467246207
700,700,4,PLS,0.5537548357508955,1.8423632056239556
700,700,4,MLP,0.6847207563989139,1.5485890359905512
700,700,4,CNN1D-shallow,0.5289303800343956,1.892914676813946
1159,1158,4,PGSGv2,0.7550608965440826,1.3649525433887155
1159,1158,4,PGSGv2-random,0.7811529011734782,1.2902054944006782
1159,1158,4,PLS,0.5683505213598066,1.8119829236579335
1159,1158,4,MLP,0.7378258418545574,1.4121584570175794
1159,1158,4,CNN1D-shallow,0.7508766803786149,1.376561697784452
30,30,5,PGSGv2,0.1436487407918592,2.5521985670937326
30,30,5,PGSGv2-random,0.09732386831141215,2.6203208329147105
30,30,5,PLS,-0.33806426491843844,3.1902665942798962
30,30,5,MLP,-2.5988671060549664,5.232044090479964
30,30,5,CNN1D-shallow,-1.5012262149448476,4.361792245654638
60,60,5,PGSGv2,-0.020261255988798466,2.7857631392386097
60,60,5,PGSGv2-random,0.08963529320428165,2.631456507636366
60,60,5,PLS,-0.10187367303564421,2.895038832437405
60,60,5,MLP,-0.5876844906269718,3.47512628516962
60,60,5,CNN1D-shallow,0.1169143989346384,2.5917308122497436
100,100,5,PGSGv2,-0.00804467251539398,2.7690345815446515
100,100,5,PGSGv2-random,0.11842814876855545,2.5895085391280523
100,100,5,PLS,0.19742368012711375,2.4707662536618016
100,100,5,MLP,-0.37808959971308065,3.2376300160994878
100,100,5,CNN1D-shallow,0.1728430794449911,2.5083171296450124
200,200,5,PGSGv2,0.48587706412734477,1.9775249864931244
200,200,5,PGSGv2-random,0.4529733114313198,2.0398242376671027
200,200,5,PLS,0.4048047471694646,2.1277383412644584
200,200,5,MLP,0.23109686649546068,2.4183786802221996
200,200,5,CNN1D-shallow,0.16558111391456232,2.5193038642147965
400,400,5,PGSGv2,0.5484832571740268,1.8532133486125317
400,400,5,PGSGv2-random,0.5655721826845652,1.8178050403883048
400,400,5,PLS,0.5180068194603902,1.9147361509692764
400,400,5,MLP,0.5025317874570313,1.9452308913037453
400,400,5,CNN1D-shallow,0.4481268795208454,2.04884031472442
700,700,5,PGSGv2,0.6751287245473423,1.5719696139809485
700,700,5,PGSGv2-random,0.6864497809275879,1.5443368855993436
700,700,5,PLS,0.5558027845955573,1.8381307737828871
700,700,5,MLP,0.623498923082795,1.6922775830560497
700,700,5,CNN1D-shallow,0.5237904050254774,1.9032137250926913
1159,1158,5,PGSGv2,0.8089987889823917,1.2053316223346329
1159,1158,5,PGSGv2-random,0.8152903500685922,1.1853136419282164
1159,1158,5,PLS,0.5683505213598066,1.8119829236579335
1159,1158,5,MLP,0.7707006284170854,1.3206566496439345
1159,1158,5,CNN1D-shallow,0.7610196394149346,1.3482474147618964
30,30,6,PGSGv2,0.10131831668652214,2.614516790494743
30,30,6,PGSGv2-random,0.13887419054171934,2.5593035151431685
30,30,6,PLS,-1.4044115181133106,4.276543461755379
30,30,6,MLP,-4.6633338056527744,6.563334979659785
30,30,6,CNN1D-shallow,-0.7184268037925627,3.615380483089679
60,60,6,PGSGv2,0.11645536990319916,2.5924043172440343
60,60,6,PGSGv2-random,0.14925528932469256,2.5438302005345026
60,60,6,PLS,-0.2570572946450025,3.0921889684205794
60,60,6,MLP,-1.0902810112403425,3.9874093952197813
60,60,6,CNN1D-shallow,-0.05157767842801042,2.8281938243413904
100,100,6,PGSGv2,0.24661111955117354,2.3938563905932675
100,100,6,PGSGv2-random,0.24997714352904754,2.3885027156150884
100,100,6,PLS,0.24698464561150624,2.3932628866087167
100,100,6,MLP,-0.22023303078499823,3.0465610024426857
100,100,6,CNN1D-shallow,0.16675027279347365,2.5175382648104874
200,200,6,PGSGv2,0.3327132041518549,2.2529147364072224
200,200,6,PGSGv2-random,0.2893423875471568,2.324977189826483
200,200,6,PLS,0.5151000481240754,1.9205011018877192
200,200,6,MLP,0.063296496279441,2.669251912240189
